E,e,n,total,CSDA,Projected,Detour
0.0015,36.41,2.153,38.57,6.767e-5,9.912e-6,0.1465
0.002,42.05,2.115,44.16,7.976e-5,1.292e-5,0.162
0.0025,47.01,2.071,49.08,9.048e-5,1.59e-5,0.1757
0.003,51.5,2.024,53.52,0.0001002,1.885e-5,0.1881
0.004,59.46,1.931,61.4,0.0001176,2.471e-5,0.2101
0.005,66.48,1.845,68.33,0.000133,3.051e-5,0.2293
0.006,72.83,1.767,74.6,0.000147,3.624e-5,0.2465
0.007,78.66,1.695,80.36,0.00016,4.192e-5,0.2621
0.008,84.09,1.63,85.73,0.000172,4.753e-5,0.2764
0.009,89.2,1.571,90.77,0.0001833,5.309e-5,0.2896
0.01,94.02,1.517,95.54,0.0001941,5.858e-5,0.3019
0.0125,103.7,1.399,105.1,0.000219,7.214e-5,0.3295
0.015,112.1,1.302,113.4,0.0002418,8.549e-5,0.3535
0.0175,119.7,1.22,120.9,0.0002632,9.863e-5,0.3748
0.02,126.6,1.149,127.7,0.0002833,0.0001116,0.3938
0.0225,132.8,1.088,133.9,0.0003024,0.0001243,0.4111
0.025,138.5,1.034,139.5,0.0003207,0.0001368,0.4268
0.0275,143.7,0.9861,144.7,0.0003382,0.0001492,0.4412
0.03,148.5,0.9432,149.5,0.0003552,0.0001615,0.4545
0.035,157.1,0.8695,157.9,0.0003878,0.0001855,0.4785
0.04,164.3,0.8081,165.1,0.0004187,0.0002091,0.4995
0.045,170.5,0.7561,171.3,0.0004484,0.0002324,0.5182
0.05,175.7,0.7113,176.4,0.0004772,0.0002553,0.535
0.055,180.1,0.6723,180.8,0.0005051,0.000278,0.5504
0.06,183.7,0.6379,184.4,0.0005325,0.0003005,0.5644
0.065,186.7,0.6074,187.3,0.0005594,0.000323,0.5773
0.07,189.1,0.58,189.7,0.0005859,0.0003453,0.5893
0.075,191.1,0.5553,191.6,0.0006122,0.0003676,0.6005
0.08,192.5,0.5329,193.1,0.0006381,0.0003899,0.6109
0.085,193.6,0.5125,194.1,0.000664,0.0004122,0.6207
0.09,194.4,0.4938,194.9,0.0006897,0.0004345,0.63
0.095,194.8,0.4765,195.3,0.0007153,0.0004569,0.6388
0.1,195.0,0.4606,195.5,0.0007409,0.0004794,0.6471
0.125,193.4,0.3961,193.8,0.0008691,0.0005936,0.683
0.15,189.3,0.349,189.7,0.0009994,0.0007116,0.712
0.175,184.4,0.3129,184.7,0.001133,0.0008339,0.736
0.2,179.2,0.2842,179.5,0.00127,0.0009607,0.7563
0.225,174.1,0.2608,174.4,0.001412,0.001092,0.7737
0.25,169.3,0.2413,169.6,0.001557,0.001228,0.7887
0.275,164.8,0.2247,165.0,0.001706,0.001368,0.8018
0.3,160.5,0.2105,160.7,0.00186,0.001513,0.8133
0.35,152.7,0.1873,152.9,0.002179,0.001815,0.8327
0.4,145.7,0.1691,145.9,0.002514,0.002133,0.8483
0.001,29.73,2.169,31.9,5.358e-5,6.877e-6,0.1284
0.45,139.5,0.1543,139.6,0.002864,0.002467,0.8611
0.5,133.8,0.1422,133.9,0.00323,0.002816,0.8718
0.55,128.6,0.1319,128.8,0.003611,0.003181,0.8809
0.6,123.9,0.1232,124.0,0.004007,0.003561,0.8887
0.65,119.5,0.1156,119.6,0.004417,0.003956,0.8955
0.7,115.4,0.109,115.6,0.004843,0.004365,0.9014
0.75,111.7,0.1031,111.8,0.005283,0.00479,0.9067
0.8,108.1,0.09791,108.2,0.005737,0.005228,0.9113
0.85,104.8,0.09324,104.9,0.006207,0.005682,0.9154
0.9,101.7,0.08903,101.8,0.00669,0.00615,0.9192
0.95,98.74,0.08522,98.82,0.007189,0.006632,0.9225
1.0,95.98,0.08175,96.06,0.007702,0.007129,0.9256
1.25,84.49,0.06813,84.56,0.01048,0.009827,0.9374
1.5,75.92,0.05862,75.98,0.01361,0.01287,0.9454
1.75,69.3,0.05159,69.35,0.01706,0.01622,0.9511
2.0,64.05,0.04616,64.09,0.02081,0.01988,0.9554
2.25,59.77,0.04182,59.81,0.02485,0.02383,0.9587
2.5,56.18,0.03828,56.22,0.02917,0.02804,0.9614
2.75,53.07,0.03532,53.11,0.03374,0.03251,0.9635
3.0,50.37,0.03282,50.41,0.03858,0.03724,0.9653
3.5,45.86,0.0288,45.89,0.04899,0.04743,0.9682
4.0,42.21,0.0257,42.24,0.06036,0.05857,0.9703
4.5,39.19,0.02324,39.21,0.07266,0.07062,0.972
5.0,36.66,0.02123,36.68,0.08585,0.08356,0.9733
5.5,34.47,0.01955,34.49,0.09992,0.09736,0.9744
6.0,32.56,0.01814,32.58,0.1148,0.112,0.9754
6.5,30.88,0.01692,30.89,0.1306,0.1275,0.9762
7.0,29.37,0.01587,29.39,0.1472,0.1438,0.9769
7.5,28.05,0.01495,28.07,0.1646,0.1609,0.9775
8.0,26.85,0.01413,26.87,0.1828,0.1788,0.978
8.5,25.77,0.0134,25.78,0.2018,0.1975,0.9785
9.0,24.78,0.01275,24.79,0.2216,0.217,0.9789
9.5,23.87,0.01216,23.88,0.2422,0.2372,0.9793
10.0,23.04,0.01163,23.05,0.2635,0.2581,0.9797
12.5,19.71,0.009563,19.72,0.3812,0.374,0.9811
15.0,17.31,0.008144,17.32,0.5168,0.5076,0.9821
17.5,15.5,0.007107,15.5,0.6696,0.6582,0.9829
20.0,14.07,0.006313,14.07,0.8391,0.8253,0.9835
25.0,11.95,0.005176,11.95,1.226,1.207,0.9844
27.5,11.14,0.004754,11.14,1.443,1.421,0.9847
30.0,10.45,0.004398,10.45,1.675,1.65,0.985
