ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000349646
  Energy(MeV/n)              u              v              w              x              y              z
   9.535116e+02   5.388930e-01  -1.067780e-01  -8.355793e-01  -4.951662e+01   7.334664e+01   7.836962e+01
   2.213277e+04   1.662875e-01  -3.422413e-02  -9.854832e-01   4.666867e+01  -7.047584e+01   1.117953e+02
   4.881135e+00   3.199556e-01   2.731446e-01  -9.072047e-01   6.186734e+00  -7.306391e+01   9.041230e+01
   8.283238e+01  -2.046116e-01  -4.446415e-01  -8.720252e-01   3.277648e+01   3.395104e+01   8.967345e+01
   1.199872e+02   8.806662e-02  -2.876799e-01  -9.536690e-01   4.490102e+01   1.094197e+02   7.599747e+01
   2.244845e+02  -4.288452e-01  -7.108484e-01  -5.574821e-01   4.482225e+01   5.803127e+01   7.090228e+01
   7.457089e+02   2.903812e-01  -1.575662e-01  -9.438494e-01  -4.872993e+01   3.644634e+01   8.487269e+01
   2.958935e+02   7.115585e-01  -6.960152e-01   9.616351e-02  -1.116090e+02   1.940923e+01  -7.356779e+01
   1.739007e+02  -8.003291e-01   4.194796e-01  -4.283809e-01   7.484020e+01  -1.001588e+02  -4.461888e+00
   1.002203e+04  -3.829349e-01   6.718635e-01  -6.340034e-01   9.132230e+01   4.307185e+00   1.071340e+02
   2.823328e+03   1.252664e-01  -6.823101e-01  -7.202508e-01  -3.875362e+01   1.064156e+02   3.129054e+01
   4.691823e+02  -1.928009e-01  -4.085215e-01  -8.921536e-01  -7.902592e+00  -3.918367e+00   1.155904e+02
   1.422283e+02  -9.947515e-02  -6.563313e-02  -9.928731e-01  -3.575332e+01  -4.877091e+01   1.075239e+02
   5.408419e+02  -4.132233e-01   3.481496e-01  -8.414501e-01   1.035093e+02  -5.573208e+01   4.495149e+01
   2.135036e+02  -2.454716e-01   3.856238e-01  -8.894032e-01   6.488444e+01  -9.988235e+01   5.122053e+01
   2.356220e+02  -6.214824e-01   1.493112e-01  -7.690682e-01   1.200289e+02  -7.397492e+00   3.159616e+01
   6.346211e+03   4.631415e-01   1.014405e-01  -8.804600e-01  -8.377394e+01   1.313359e+01   7.102320e+01
   2.242457e+01  -5.316421e-01  -8.391257e-01   1.149988e-01   4.798822e+00   1.204725e+02   3.167709e+01
   3.627557e+02   5.318683e-01   2.707180e-02  -8.463943e-01  -4.587242e+01   5.783266e+01   9.117211e+01
   1.582390e+02   6.463689e-02  -8.265156e-01  -5.591906e-01  -7.082988e+01   7.815307e+01   5.512799e+01
   8.812353e+02  -1.835468e-01   5.435828e-01  -8.190411e-01   9.413335e+01  -3.638782e+01   7.684881e+01
   1.812539e+01   5.187312e-01   8.509521e-01  -8.245272e-02  -5.121327e+01  -8.110864e+01   5.353991e+01
   2.258853e+02   4.044487e-01  -1.176593e-01  -9.069606e-01  -3.212079e+01  -1.670343e+00   9.615117e+01
   1.287466e+02  -3.573434e-01   2.429114e-01  -9.018313e-01  -4.193818e+01  -6.100723e+01   1.110706e+02
